Year,Player,Rookie G,Rookie AB,BA_1,Rookie BA,Rookie SLG,SA_1,Sophomore G,Sophomore AB,BA_2,Sophomore BA,SA_2,Sophomore SLG
1950,Samuel Jethroe,141,582,273,0.273,0.442,442,148,572,280,0.28,460,0.46
1951,Willie Mays,121,464,274,0.274,0.472,472,34,127,236,0.236,409,0.409
1953,James Gilliam,151,605,278,0.278,0.415,415,146,607,282,0.282,418,0.418
1954,Wallace Moon,151,635,304,0.304,0.435,435,152,593,295,0.295,459,0.459
1955,William Virdon,144,534,281,0.281,0.433,433,157,580,319,0.319,445,0.445
1956,Frank Robinson,152,572,290,0.29,0.558,558,150,611,322,0.322,529,0.529
1958,Orlando Cepeda,148,603,312,0.312,0.512,512,151,605,317,0.317,522,0.522
1959,Willie McCovey,52,192,354,0.354,0.656,656,101,260,238,0.238,469,0.469
1960,Frank Howard,117,448,268,0.268,0.464,464,99,267,296,0.296,517,0.517
1961,Billy Williams,146,529,278,0.278,0.484,484,159,618,298,0.298,466,0.466
1962,Kenneth Hubbs,160,661,260,0.26,0.346,346,154,566,235,0.235,322,0.322
1963,Peter Rose,157,623,273,0.273,0.371,371,136,516,269,0.269,326,0.326
1964,Richard Allen,162,632,318,0.318,0.557,557,161,619,302,0.302,494,0.494
1965,James Lefebvre,157,544,250,0.25,0.369,369,152,544,274,0.274,460,0.46
1966,Tommy Helms,138,542,284,0.284,0.38,380,137,497,274,0.274,356,0.356
1968,Johnny Bench,154,564,275,0.275,0.433,433,148,532,293,0.293,487,0.487
1969,Ted Sizemore,159,590,271,0.271,0.342,342,96,340,306,0.306,350,0.35
1971,Earl Williams,145,497,260,0.26,0.491,491,151,565,258,0.258,457,0.457
1973,Gary Matthews,148,540,300,0.3,0.444,444,154,561,287,0.287,442,0.442
1974,Bake McBride,150,559,309,0.309,0.394,394,116,413,300,0.3,404,0.404
1977,Andre Dawson,139,525,282,0.282,0.474,474,157,609,253,0.253,442,0.442
1978,Bob Horner,89,323,266,0.266,0.539,539,121,487,314,0.314,552,0.552
1982,Steve Sax,150,638,282,0.282,0.359,359,155,623,281,0.281,350,0.35
1983,Darryl Strawberry,122,420,257,0.257,0.512,512,147,522,251,0.251,467,0.467
1985,Vince Coleman,151,636,267,0.267,0.335,335,154,600,232,0.232,280,0.28
1987,Benito Santiago,146,546,300,0.3,0.467,467,139,492,248,0.248,362,0.362
1988,Chris Sabo,137,538,271,0.271,0.414,414,82,304,260,0.26,395,0.395
1989,Jerome Walton,116,475,293,0.293,0.385,385,101,392,263,0.263,329,0.329
1990,David Justice,127,439,282,0.282,0.535,535,109,396,275,0.275,503,0.503
1991,Jeff Bagwell,156,554,294,0.294,0.437,437,162,586,273,0.273,444,0.444
1992,Eric Karros,149,545,257,0.257,0.426,426,158,619,247,0.247,409,0.409
1993,Mike Piazza,149,547,318,0.318,0.561,561,107,405,319,0.319,541,0.541
1994,Raul Mondesi,112,434,306,0.306,0.516,516,139,536,285,0.285,496,0.496
1996,Todd Hollandsworth,149,478,291,0.291,0.437,437,106,296,247,0.247,368,0.368
1997,Scott Rolen,156,561,283,0.283,0.469,469,160,601,290,0.29,532,0.532
2000,Rafael Furcal,131,455,295,0.295,0.382,382,79,324,275,0.275,370,0.37
2001,Albert Pujols,161,590,329,0.329,0.61,610,157,590,314,0.314,561,0.561
2004,Jason Bay,120,411,282,0.282,0.55,550,162,599,306,0.306,559,0.559
2005,Ryan Howard,88,312,288,0.288,0.567,567,159,581,313,0.313,659,0.659
2006,Hanley Ramirez,158,633,292,0.292,0.48,480,154,639,332,0.332,562,0.562
2007,Ryan Braun,113,451,324,0.324,0.634,634,151,611,285,0.285,553,0.553
2008,Geovany Soto,141,494,285,0.285,0.504,504,102,331,218,0.218,381,0.381
2009,Chris Coghlan,128,501,321,0.321,0.46,460,91,358,268,0.268,383,0.383
2010,Buster Posey,108,406,305,0.305,0.505,505,45,162,284,0.284,389,0.389
2012,Brice Harper,139,533,270,0.27,0.477,477,,,,,,
1949,Roy Sievers,140,471,306,0.306,0.471,471,113,370,238,0.238,395,0.395
1950,Walter Dropo,136,559,322,0.322,0.583,583,99,360,239,0.239,369,0.369
1951,Gilbert McDougald,131,402,306,0.306,0.488,488,152,555,263,0.263,369,0.369
1953,Harvey Kuenn,155,679,308,0.308,0.386,386,155,656,306,0.306,390,0.39
1956,Luis Aparicio,152,533,266,0.266,0.341,341,143,575,257,0.257,332,0.332
1957,Anthony Kubek,127,431,297,0.297,0.381,381,138,559,265,0.265,317,0.317
1958,Albert Pearson,146,530,275,0.275,0.358,358,105,218,216,0.216,257,0.257
1959,W. Robert Allison,150,570,261,0.261,0.482,482,144,501,251,0.251,413,0.413
1960,Ronald Hansen,153,530,255,0.255,0.44,440,155,533,248,0.248,347,0.347
1962,Thomas Tresh,157,622,286,0.286,0.441,441,145,520,269,0.269,487,0.487
1964,Tony Oliva,161,672,323,0.323,0.557,557,149,576,321,0.321,491,0.491
1965,Curtis Blefary,144,462,260,0.26,0.47,470,131,419,255,0.255,468,0.468
1966,Tommie Agee,160,629,273,0.273,0.447,447,158,529,234,0.234,371,0.371
1967,Rod Carew,137,514,292,0.292,0.409,409,127,461,273,0.273,347,0.347
1969,Lou Pinella,135,493,282,0.282,0.416,416,144,542,301,0.301,424,0.424
1970,Thurman Munson,132,453,302,0.302,0.415,415,125,451,251,0.251,368,0.368
1971,Chris Chambliss,111,415,275,0.275,0.407,407,121,465,292,0.292,397,0.397
1972,Carlton Fisk,131,457,293,0.293,0.538,538,135,508,246,0.246,441,0.441
1973,Al Bumbry,110,356,337,0.337,0.5,500,94,270,233,0.233,304,0.304
1974,Mike Hargrove,131,415,323,0.323,0.424,424,145,519,303,0.303,416,0.416
1975,Fred Lynn,145,528,331,0.331,0.566,566,132,507,314,0.314,467,0.467
1977,Eddie Murray,160,611,283,0.283,0.47,470,161,610,285,0.285,480,0.48
1978,Lou Whitaker,139,484,285,0.285,0.357,357,127,423,286,0.286,378,0.378
1979,John Castino,148,393,285,0.285,0.397,397,150,546,302,0.302,430,0.43
1979,Alfredo Griffin,153,624,287,0.287,0.364,364,155,653,254,0.254,349,0.349
1980,Joe Charboneau,131,453,289,0.289,0.488,488,48,138,210,0.21,362,0.362
1982,Cal Ripken,160,598,264,0.264,0.475,475,162,663,318,0.318,517,0.517
1983,Ron Kittle,145,520,254,0.254,0.504,504,139,466,215,0.215,453,0.453
1984,Alvin Davis,152,567,284,0.284,0.497,497,155,578,287,0.287,441,0.441
1985,Ozzie Guillen,150,491,273,0.273,0.358,358,159,547,250,0.25,311,0.311
1986,Jose Canseco,157,600,240,0.24,0.457,457,159,630,257,0.257,470,0.47
1987,Mark McGwire,151,557,289,0.289,0.618,618,155,550,260,0.26,478,0.478
1988,Walt Weiss,147,452,250,0.25,0.321,321,84,236,233,0.233,318,0.318
1990,"Sandy Alomar, Jr.",132,445,290,0.29,0.418,418,51,184,217,0.217,266,0.266
1991,Chuck Knoblauch,151,565,281,0.281,0.35,350,155,600,297,0.297,358,0.358
1992,Pat Listach,149,579,290,0.29,0.349,349,98,356,244,0.244,317,0.317
1993,Tim Salmon,142,515,283,0.283,0.536,536,100,373,287,0.287,531,0.531
1994,Bob Hamelin,101,312,282,0.282,0.599,599,72,208,168,0.168,313,0.313
1995,Marty Cordova,137,512,277,0.277,0.486,486,145,569,309,0.309,478,0.478
1996,Derek Jeter,157,582,314,0.314,0.43,430,159,654,291,0.291,405,0.405
1997,Nomar Garciaparra,153,684,306,0.306,0.534,534,143,604,323,0.323,584,0.584
1998,Ben Grieve,155,583,288,0.288,0.458,458,148,486,265,0.265,481,0.481
1999,Carlos Beltran,156,663,293,0.293,0.454,454,98,372,247,0.247,366,0.366
2001,Ichiro Suzuki,157,692,350,0.35,0.457,457,157,647,321,0.321,425,0.425
2002,Eric Hinske,151,566,279,0.279,0.481,481,124,449,243,0.243,437,0.437
2003,Angel Berroa,158,567,287,0.287,0.451,451,134,512,262,0.262,385,0.385
2004,Bobby Crosby,151,545,239,0.239,0.426,426,84,333,276,0.276,456,0.456
2007,Dustin Pedroia,139,520,317,0.317,0.442,442,157,653,326,0.326,493,0.493
2008,Evan Longoria,122,448,272,0.272,0.531,531,157,584,281,0.281,526,0.526
2012,Mike Trout,139,559,326,0.326,0.564,564,,,,,,
